GeneID,symbol,description,baseMean,log2FoldChange,lfcSE,pvalue,padj
AT3G26500,PIRL2,"Encodes PIRL2, a member of the Plant Intracellular Ras-group-related LRRs (Leucine rich repeat proteins). PIRLs are a distinct, plant-specific class of intracellular LRRs that likely mediate protein interactions, possibly in the context of signal transduction.",3878.640610031024,4.668721569162097,0.5511090190950286,8.740474795337232e-19,3.6572619290980815e-17
AT4G24110,NA,NA,2653.133819088692,4.671105278024075,0.5517023603964877,9.033160229361683e-19,3.772318560096964e-17
AT2G24570,ATWRKY17,member of WRKY Transcription Factor; Group II-d; negative regulator of basal resistance to Pseudomonas syringae.,6059.921741475951,4.2530269040263935,0.5014192470205473,9.74231669510639e-19,4.060506085565086e-17
AT5G66620,DAR6,NA,493.50899522174166,4.531671259285387,0.5353031292779256,1.0439656492344347e-18,4.342652421366209e-17
AT2G47440,NA,NA,1170.5979905662707,-2.124004030703069,0.24605364420255305,1.0861770466533419e-18,4.509434452168202e-17
AT1G80840,ATWRKY40,"Pathogen-induced transcription factor. Binds W-box sequences  in vitro. Forms protein complexes with itself and with WRKY40 and WRKY60. Coexpression with WRKY18 or WRKY60 made plants more susceptible to both P. syringae and B. cinerea. WRKY18, WRKY40, and WRKY60 have partially redundant roles in response to the hemibiotrophic bacterial pathogen Pseudomonas syringae and the necrotrophic fungal pathogen Botrytis cinerea, with WRKY18 playing a more important role than the other two.",4944.9444641089685,6.206091121298186,0.7391161807009712,1.1759118601589335e-18,4.863023455857276e-17
AT3G21630,AtCERK1,LysM receptor-like kinase. Essential in the perception and transduction of the chitin oligosaccharide elicitor. Involved in chitin-mediated plant  innate immunity. Located in the plasma membrane.,3635.306644053114,3.7825693660089232,0.4461673339459557,1.1752834250216483e-18,4.863023455857276e-17
AT1G09970,LRR,RLK7 belongs to a leucine-rich repeat class of receptor-likekinase (LRR-RLKs). It is involved in the control of germination speed and the tolerance to oxidant stress.,10552.881434195344,2.5532355674141924,0.298859521903172,1.2641443697392988e-18,5.2177803850208507e-17
AT3G47570,NA,NA,709.5753215300986,2.837124498450585,0.33317031571312195,1.2824747185138944e-18,5.2832004941796754e-17
AT1G76970,NA,NA,1393.058736875798,4.0543362742223215,0.4804109700440483,1.4207537142868611e-18,5.84154683530532e-17
AT5G03380,AtHMP43,NA,17698.733615651443,3.474276382450198,0.41250845021946286,2.0914214833255175e-18,8.58248453793196e-17
AT3G23250,ATMYB15,Member of the R2R3 factor gene family.,4181.009900427824,7.710882266659502,0.930654958284478,2.3034400850981072e-18,9.434359025465286e-17
AT5G58730,Mik,NA,1179.2171728432186,2.459284384889325,0.29024728826724355,2.3400545753545022e-18,9.56592751360848e-17
AT2G18690,NA,NA,13152.777048866164,4.784035178512747,0.5709109909643816,2.3897645682353772e-18,9.750422562122042e-17
AT4G28550,NA,NA,776.5689103390592,3.712874343897262,0.44244629536391833,2.496073967642348e-18,1.0164700451787136e-16
