GeneID,symbol,description,baseMean,log2FoldChange,lfcSE,pvalue,padj
AT1G50740,NA,NA,5820.818424484746,5.334120954132369,0.4086296658316768,2.003014293362065e-40,2.666262401251578e-38
AT2G35980,ATNHL10,"Encodes a protein whose sequence is similar to tobacco hairpin-induced gene (HIN1) and Arabidopsis non-race specific disease resistance gene (NDR1). Expression of this gene is induced by cucumber mosaic virus, spermine and during senescence. The gene product is localized to the chloroplast.",1827.095405085672,7.268706293703616,0.5585679115215573,2.799959253441674e-40,3.703946098124272e-38
AT5G65600,LecRK-IX.2,NA,1160.1743890826117,8.968449311429424,0.6817826533464706,2.835187227876653e-40,3.727396146871417e-38
AT3G19850,NA,NA,658.0220447536013,-3.783207883718811,0.2880844088273774,2.933675182774659e-40,3.833215585443846e-38
AT5G66640,DAR3,NA,601.37331566526,5.413115801912299,0.4160017408574944,4.450065547530587e-40,5.779115611665028e-38
AT1G16420,ATMC8,"Encodes a metacaspase (cysteine-type endopeptidase) that is involved in promoting programmed cell death in response to hydrogen peroxide (H2O2), UV light, and methyl viologen (MV). Transcript levels rise in response to UV-C, H2O2, and MV. In vitro assays demonstrate that this enzyme has a preference for cleaving after an arginine residue, and it has a pH optimum of 8.0.",804.6676311658829,8.213075238432312,0.6262259581123061,5.340066227668904e-40,6.892892758599535e-38
AT1G11310,ATMLO2,"A member of a large family of seven-transmembrane domain proteins specific to plants, homologs of the barley mildew resistance locus o (MLO) protein. The Arabidopsis genome contains 15 genes encoding MLO proteins, with localization in plasma membrane. Phylogenetic analysis revealed four clades of closely-related AtMLO genes. ATMLO2 belongs to the clade IV, with AtMLO3, AtMLO6 and AtMLO12. The gene is expressed during early seedling growth, in roots, in vascular system of cotyledons and young leaves,and in fruit abscission zone; it was not expressed in anthers and pollen, as shown by GUS activity patterns. The expression of several phylogenetically closely-related AtMLO genes showed similar or overlapping tissue specificity and analogous responsiveness to external stimuli, suggesting functional redundancy, co-function, or antagonistic function(s). mlo resistance in  A. thaliana does not involve the signaling molecules ethylene,  jasmonic acid or salicylic acid, but requires a syntaxin,  glycosyl hydrolase and ABC transporter.",13114.358696977475,3.462432334090021,0.2662420793053879,7.377394312803738e-40,9.465285787596026e-38
AT4G23190,AT-RLK3,"Encodes putative receptor-like protein kinase that is induced by the soil-borne vascular bacteria, Ralstonia solanacearum. Naming convention from Chen et al 2003 (PMID 14756307)",8080.563691150058,5.169030342004728,0.3994056360903204,8.501379850318781e-40,1.0842059164795772e-37
AT2G02220,ATPSKR1,"Encodes a protein interacting with phytosulfokine, a five amino acid sulfated peptide (YIYTQ).",3231.296182179119,3.0011878597425645,0.2322391428737374,2.458624090288665e-39,3.1168914211290463e-37
AT1G66090,NA,NA,4511.927780760908,6.826236306694533,0.5332097616913499,4.2331208667294e-39,5.334734214177678e-37
AT1G79680,ATWAKL10,NA,2898.058364711435,8.880821119838151,0.6944610045013246,4.357814442102327e-39,5.459572469876197e-37
