gene,symbol,description,baseMean,log2FoldChange,lfcSE,pvalue,padj
AT1G07590,NA,NA,16427.83439237913,0.23253036584796508,0.4010607307390067,0.2065613362759712,0.8292090863161993
AT1G22882,AtSUN3,NA,238.1814594106407,-0.23491596512290364,0.3877136302564355,0.2071211274497527,0.8292090863161993
AT1G34300,NA,NA,282.96634589626643,-0.2321335960540169,0.3896137188273807,0.20585113894472457,0.8292090863161993
AT1G34760,GF14,Encodes a 14-3-3 protein. Binds H+-ATPase in response to blue light.,106.9346383548535,-0.21332302014258325,0.3967705199688169,0.20693696745349371,0.8292090863161993
AT1G70690,HWI1,Encodes a plasmodesmal protein that may be involved in the intercellular movement of molecules through the plasmodesmata. The protein has two DUF26 domains and a single transmembrane domain.,101.59845408401796,-0.22413414397279835,0.39382486649223136,0.2073544956694103,0.8292090863161993
AT1G71910,NA,NA,30.78381917142884,-0.12827958187550073,0.38905721761169487,0.20572164411992,0.8292090863161993
AT1G75270,DHAR2,NA,256.5925836629516,-0.21547287848860416,0.3966486142806988,0.20626372619632977,0.8292090863161993
AT1G75310,AUL1,NA,354.83524437332926,-0.2447688749913033,0.379782886471756,0.20615751508368033,0.8292090863161993
AT1G76390,AtPUB43,NA,304.0500762971286,-0.18845706353507585,0.39803700822852617,0.2079772598969847,0.8292090863161993
AT1G77420,MAGL5,NA,131.40147604087022,-0.23886741128690447,0.3858879527882773,0.20585166440961775,0.8292090863161993
AT1G78540,ATSHB,Encodes a protein that contains an SH2 domain. It can pull down a 120-kD tyrosine-phosphorylated protein in vitro. It is predicted to act as a transcription factor.,83.74450595306548,0.21591486519713535,0.39702490959540376,0.20800929825785733,0.8292090863161993
AT1G80980,NA,NA,86.48502650960285,-0.2129187164344044,0.3966923087681158,0.20790889516023145,0.8292090863161993
AT2G03640,NA,NA,708.0467573112085,-0.2435871183329595,0.3809288424291055,0.2068497876504067,0.8292090863161993
AT2G18000,TAF14,NA,16.506130070562772,0.14423535465856632,0.3925892420475003,0.20680662692893792,0.8292090863161993
AT2G18020,EMB2296,NA,4461.995867388042,0.22959232719147105,0.3922223031314356,0.20784728558986457,0.8292090863161993
AT2G21350,NA,NA,9.86563722444142,-0.11717478009222504,0.38676555932409984,0.20778401425350063,0.8292090863161993
AT2G41340,RPB5D,NRPE5-like protein of unknown function; homologous to budding yeast RPB5,52.04525519842444,0.208243326023833,0.3990076631365529,0.2073452930231083,0.8292090863161993
AT3G03710,PDE326,"Encodes a chloroplast polynucleotide phosphorylase (PNPase).  Involved in response to phosphorus (P) starvation. Mutants impaired in the expression of this gene have been selected through their resistance to fosmidomycin, a strong inhibitor of DXR, an enzyme of the methylerythritol-dependent IPP biosynthesis pathway. The pathway enzymes were upregulated in the mutant seedlings.",504.1756706745164,0.24686307953938663,0.3782630113520295,0.2070999895155705,0.8292090863161993
AT3G06370,ATNHX4,member of Sodium proton exchanger family,31.26440704750579,0.18595392546192036,0.39922477466996414,0.2076169000774469,0.8292090863161993
AT3G08990,NA,NA,58.66131494245459,-0.2103654790153892,0.3972820609372189,0.20734004063551068,0.8292090863161993
AT3G09162,NA,NA,7.919831073218042,0.09956143842898137,0.3832264699477968,0.2079363201366128,0.8292090863161993
AT3G12490,ATCYS6,"Encodes a protein with cysteine proteinase inhibitor activity. Overexpression increases tolerance to abiotic stressors (i.e.salt,osmitic, cold stress).",2104.0397859701548,-0.22178902353680763,0.39211929508796856,0.2068952974844397,0.8292090863161993
