"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PHAX",0.00465076174674009,-0.772897448209333,0.074,0.119,1
"SYF2",0.00467556149271148,-0.354733539009336,0.287,0.354,1
"CCDC23",0.00468096519855232,0.829360880136061,0.117,0.072,1
"UNC119",0.00473304420047394,-1.20894434185535,0.022,0.05,1
"TCL1A",0.00473888520725203,-0.325856095913304,0.098,0.151,1
"APRT",0.00476487531157886,-0.281529854184337,0.339,0.413,1
"TRAPPC10",0.0047983432841655,-1.3555904041773,0.014,0.039,1
"ST14",0.00480833998285735,-1.66123338102853,0.01,0.032,1
"ATP5B",0.00484719860298713,-0.371992187691075,0.352,0.44,1
"PYHIN1",0.00485795280949263,3.0958454287685,0.021,0.003,1
"TBC1D10C",0.00486175883183214,-0.983339930086602,0.04,0.076,1
"DDX54",0.00487397608454211,-0.943662005549632,0.042,0.077,1
"TNKS2-AS1",0.00492203276277488,2.72360698131245,0.021,0.003,1
"RP11-343N15.5",0.00495435858461938,2.80268871199578,0.021,0.003,1
"CNTRL",0.00495635557407278,1.09269654506334,0.072,0.037,1
"ITM2B",0.00496701974588438,0.364274249876765,0.47,0.409,1
"TRIM44",0.00504254990130064,1.00391539449417,0.095,0.055,1
"ARHGAP24",0.00506896978921605,-0.802938341527852,0.095,0.144,1
"PPDPF",0.00508491745146336,-0.300634883593728,0.396,0.463,1
"ZNF92",0.00508741634041309,0.96839404307099,0.061,0.029,1
"P4HTM",0.00509134837218963,-1.46467171024465,0.01,0.032,1
"MUT",0.00510952653736488,-1.41135212751899,0.01,0.032,1
"MRPL24",0.00513639174272099,-0.604855600402268,0.094,0.143,1
"LAG3",0.00513944907884262,5.99060884830603,0.013,0,1
"AC009133.12",0.00513944907884262,5.5324004268193,0.013,0,1
"USP18",0.00513944907884262,5.82389973123039,0.013,0,1
"P4HB",0.00515580136741543,-0.812609289427095,0.089,0.134,1
"PAIP2",0.00518901405189082,-0.384571564122268,0.275,0.346,1
"TCEAL3",0.00521983281491969,-1.32028480908976,0.01,0.032,1
"SUMO3",0.00526174678849398,-0.863807985521815,0.057,0.097,1
"APOPT1",0.00528858210122403,-0.486890897056499,0.093,0.143,1
"IPO13",0.00541177716713565,-4.99207984082287,0,0.01,1
"CHRNA1",0.00541177716713565,-5.65027965096365,0,0.01,1
"BDH1",0.00541177716713565,-5.38672839091906,0,0.01,1
"ZNF182",0.00541177716713565,-5.39265792491357,0,0.01,1
"IDE",0.00541177716713565,-5.94728204676783,0,0.01,1
"VEGFB",0.00541177716713565,-5.71080706464097,0,0.01,1
"TMEM204",0.00541177716713565,-5.82566525406827,0,0.01,1
"VAT1",0.00541177716713565,-5.74509822964868,0,0.01,1
"TSHZ1",0.00541177716713565,-5.66262943536861,0,0.01,1
"GSTT1",0.00541177716713565,-5.90935919396524,0,0.01,1
"ATP6V1D",0.00541212014991323,-0.848243900672866,0.037,0.07,1
"ABI3",0.00542216473129008,-1.8477995764831,0.02,0.045,1
"JAGN1",0.00545968550768903,-0.658338395246491,0.12,0.173,1
"TMEM80",0.00546635735507054,-1.67977886563899,0.012,0.034,1
"ATP6V0E2",0.00549083754767835,-2.94880274380329,0.003,0.017,1
"PURB",0.00550534723120457,-3.08696971108068,0.003,0.017,1
"NEK6",0.00550534723120457,-2.72803891278155,0.003,0.017,1
"ERBB2IP",0.00553665238294422,-1.25763441192048,0.029,0.059,1
"RAB11B",0.00554536527652521,-0.835482591510845,0.056,0.096,1
"MAP3K7",0.00555279352288071,-1.01188291907432,0.025,0.054,1
"CORO1B",0.00556233991673636,-2.24785990249353,0.008,0.027,1
"SLC6A6",0.00556373264948031,-2.48791071853788,0.003,0.017,1
"KCNG1",0.00556373264948031,-2.73075207927578,0.003,0.017,1
"NQO2",0.00558890635943428,2.71698206070159,0.017,0.002,1
"FAM135A",0.00561625535895624,0.332246203134609,0.017,0.002,1
"PRKAG2",0.00562432291400769,0.585428661500913,0.072,0.037,1
"DDRGK1",0.00562973218334805,-0.731865799112919,0.061,0.102,1
"SNX29",0.0056374998662588,-2.3332552305517,0.003,0.017,1
"SEPT6",0.00564634108242804,0.642336528494247,0.208,0.156,1
"CCL3",0.0056524073493802,0.573707468796971,0.108,0.065,1
"OAZ2",0.00566504730524346,-0.801231233787163,0.051,0.089,1
"MPI",0.00566577731754453,-1.57239751066906,0.012,0.034,1
"TNFRSF1B",0.00567253919139352,-1.27220591356367,0.027,0.057,1
"COMMD7",0.00568164140964617,-0.647667277552245,0.07,0.114,1
"FAM65B",0.00569148566873551,1.05821563915668,0.097,0.057,1
"NDUFS5",0.00569835690457727,-0.52123947960397,0.197,0.26,1
"FOPNL",0.00571157789679611,-1.83509771415223,0.02,0.045,1
"MOCS2",0.00573927768694888,-1.16520870540037,0.025,0.054,1
"RIOK2",0.00573951436429844,1.0622988240734,0.082,0.045,1
"AHNAK",0.00577234501537281,-1.80944081336143,0.008,0.027,1
"FGL2",0.00577297115612825,1.62702004452825,0.035,0.012,1
"PIK3AP1",0.00579277423765569,1.68778438178878,0.038,0.013,1
"TAGAP",0.00584508737258374,0.482814432502774,0.225,0.166,1
"UTRN",0.00585587076961042,1.58569543998442,0.04,0.015,1
"VEZF1",0.00587173635094762,-1.27543386181193,0.012,0.034,1
"SLC25A6",0.00590332366527326,-1.08092839646619,0.027,0.057,1
"NVL",0.00590671061956976,-1.31969992820183,0.012,0.034,1
"SLC27A2",0.00595627379719354,2.67804178806435,0.023,0.005,1
"EIF3J-AS1",0.0059620520833261,-1.14050776231735,0.012,0.034,1
"TAF12",0.00597303109655353,-0.581567384107305,0.076,0.121,1
"ETV6",0.00597900157118495,1.21169834167079,0.038,0.013,1
"STX16",0.00598462644070506,1.44319913855757,0.04,0.015,1
"ARPC4",0.00600800340581001,-0.680731588399005,0.086,0.133,1
